Sum_PASSENGERS,AIRLINE_ID,CARRIER_NAME,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_NM,ORIGIN_COUNTRY,ORIGIN_COUNTRY_NAME,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_NM,DEST_COUNTRY,DEST_COUNTRY_NAME,YEAR,MONTH
350,19386,Northwest Airlines Inc.,DEL,"Delhi, India",,,IN,India,IAD,"Washington, DC",VA,Virginia,US,United States,2001,6
342,19386,Northwest Airlines Inc.,DEL,"Delhi, India",,,IN,India,IAD,"Washington, DC",VA,Virginia,US,United States,2001,7
564,19386,Northwest Airlines Inc.,DEL,"Delhi, India",,,IN,India,IAD,"Washington, DC",VA,Virginia,US,United States,2001,8
203,19386,Northwest Airlines Inc.,DEL,"Delhi, India",,,IN,India,IAD,"Washington, DC",VA,Virginia,US,United States,2001,9
327,19533,Air-India,AMD,"Ahmedabad, India",,,IN,India,EWR,"Newark, NJ",NJ,New Jersey,US,United States,2002,12
298,19533,Air-India,AMD,"Ahmedabad, India",,,IN,India,EWR,"Newark, NJ",NJ,New Jersey,US,United States,2003,1
648,19533,Air-India,AMD,"Ahmedabad, India",,,IN,India,EWR,"Newark, NJ",NJ,New Jersey,US,United States,2003,2
508,19533,Air-India,AMD,"Ahmedabad, India",,,IN,India,EWR,"Newark, NJ",NJ,New Jersey,US,United States,2003,3
823,19533,Air-India,AMD,"Ahmedabad, India",,,IN,India,EWR,"Newark, NJ",NJ,New Jersey,US,United States,2003,4
998,19533,Air-India,AMD,"Ahmedabad, India",,,IN,India,EWR,"Newark, NJ",NJ,New Jersey,US,United States,2003,5
805,19533,Air-India,AMD,"Ahmedabad, India",,,IN,India,EWR,"Newark, NJ",NJ,New Jersey,US,United States,2003,6
1380,19533,Air-India,AMD,"Ahmedabad, India",,,IN,India,EWR,"Newark, NJ",NJ,New Jersey,US,United States,2003,7
1028,19533,Air-India,AMD,"Ahmedabad, India",,,IN,India,EWR,"Newark, NJ",NJ,New Jersey,US,United States,2003,8
819,19533,Air-India,AMD,"Ahmedabad, India",,,IN,India,EWR,"Newark, NJ",NJ,New Jersey,US,United States,2003,9
695,19533,Air-India,AMD,"Ahmedabad, India",,,IN,India,EWR,"Newark, NJ",NJ,New Jersey,US,United States,2003,10
1313,19533,Air-India,AMD,"Ahmedabad, India",,,IN,India,EWR,"Newark, NJ",NJ,New Jersey,US,United States,2003,11
1717,19533,Air-India,AMD,"Ahmedabad, India",,,IN,India,EWR,"Newark, NJ",NJ,New Jersey,US,United States,2003,12
2490,19533,Air-India,AMD,"Ahmedabad, India",,,IN,India,EWR,"Newark, NJ",NJ,New Jersey,US,United States,2004,1
2405,19533,Air-India,AMD,"Ahmedabad, India",,,IN,India,EWR,"Newark, NJ",NJ,New Jersey,US,United States,2004,2
2060,19533,Air-India,AMD,"Ahmedabad, India",,,IN,India,EWR,"Newark, NJ",NJ,New Jersey,US,United States,2004,3
2138,19533,Air-India,AMD,"Ahmedabad, India",,,IN,India,EWR,"Newark, NJ",NJ,New Jersey,US,United States,2004,4
2080,19533,Air-India,AMD,"Ahmedabad, India",,,IN,India,EWR,"Newark, NJ",NJ,New Jersey,US,United States,2004,5
1685,19533,Air-India,AMD,"Ahmedabad, India",,,IN,India,EWR,"Newark, NJ",NJ,New Jersey,US,United States,2004,6
2089,19533,Air-India,AMD,"Ahmedabad, India",,,IN,India,EWR,"Newark, NJ",NJ,New Jersey,US,United States,2004,7
2162,19533,Air-India,AMD,"Ahmedabad, India",,,IN,India,EWR,"Newark, NJ",NJ,New Jersey,US,United States,2004,8
1659,19533,Air-India,AMD,"Ahmedabad, India",,,IN,India,EWR,"Newark, NJ",NJ,New Jersey,US,United States,2004,9
